"report_namePKO";"hostilityGov_None";"hostilityGov_VerbalRestrictions";"hostilityGov_PhysicalRestrictions";"hostilityGov_ViolentRestrictions";"hostilityOther_None";"hostilityOther_VerbalRestrictions";"hostilityOther_PhysicalRestrictions";"hostilityOther_ViolentRestrictions";"abuseAllegations";"abuseInvestigation";"sexualViolenceAllegation";"sexualViolenceInvestigation";"DDRprogress"
"189";"UNOMIG_S/1998/375/Add.1";"True";"False";"False";"False";"True";"False";"False";"False";"False";"False";"False";"False";"NO_INFO"
"190";"UNOMIG_S/1998/375";"True";"False";"False";"False";"False";"False";"True";"True";"False";"False";"False";"False";"NO_INFO"
"191";"UNOMIG_S/1997/827";"False";"False";"True";"False";"False";"False";"True";"True";"False";"False";"False";"False";"NO_INFO"
"192";"UNOMIG_S/1997/558/Add.1";"True";"False";"False";"False";"True";"False";"False";"False";"False";"False";"False";"False";"NO_INFO"
"193";"UNOMIG_S/1997/558";"False";"False";"True";"False";"False";"False";"False";"True";"False";"False";"False";"False";"NO_INFO"
"194";"UNOMIG_S/1997/340";"True";"False";"False";"False";"False";"False";"False";"True";"False";"False";"False";"False";"NO_INFO"
"195";"UNOMIG_S/1997/47";"True";"False";"False";"False";"False";"False";"False";"True";"False";"False";"False";"False";"NO_INFO"
"196";"UNMIK_S/2003/996";"True";"False";"False";"False";"True";"False";"False";"True";"False";"False";"False";"False";"COMPLETED"
"197";"UNMIK_S/2003/675";"True";"False";"False";"False";"False";"False";"False";"True";"False";"False";"False";"False";"COMPLETED"
"198";"UNMIK_S/2003/421";"True";"False";"False";"False";"False";"False";"False";"True";"False";"False";"False";"False";"COMPLETED"
"199";"UNMIK_S/2002/1126";"False";"True";"False";"False";"False";"False";"False";"True";"False";"False";"False";"False";"COMPLETED"
"200";"UNMIK_S/2003/113";"True";"False";"False";"False";"False";"True";"False";"False";"False";"False";"False";"False";"COMPLETED"
"201";"UNMIK_S/2002/779";"True";"False";"False";"False";"True";"False";"False";"False";"False";"False";"False";"False";"COMPLETED"
"202";"UNMIK_S/2002/436";"True";"False";"False";"False";"False";"True";"False";"True";"False";"False";"False";"False";"COMPLETED"
"203";"UNOMIG_S/1996/284";"True";"False";"False";"False";"False";"False";"False";"True";"False";"False";"False";"False";"NO_INFO"
"204";"UNOMIG_S/1996/843";"False";"False";"True";"False";"False";"True";"False";"True";"False";"False";"False";"False";"NO_INFO"
"205";"UNOMIG_S/1996/507/Add1";"True";"False";"False";"False";"True";"False";"False";"False";"False";"False";"False";"False";"NO_INFO"
"206";"UNOMIG_S/1996/507";"True";"False";"False";"False";"False";"False";"False";"True";"False";"False";"False";"False";"NO_INFO"
